Name,Description,Add,Region,Town,Tel,Px,Py,ParkingSpace,Type,Zone
魚礁十五號民宿,北海岸旅人的解憂棲地耗時五年設計打造出來的魚礁十五號民宿，不僅溫馨舒適且極度重視人與山海美景互動的空間，為來自世界與台灣各地熱愛海洋與自然的旅人們，提供輕快溫馨的棲地。旅人們游向濱海步道與貝殼砂，游向潮境公園與水金九山城，再短短游回來魚礁十五號吐泡泡，或者像魚一樣停在魚礁的任何地方，用一整天看路、看山、看大海；人說山中無甲子，或許海底更解憂。人生從不相同，建築也是魚礁是海中魚類居住的地方，魚兒們會群聚在這裡棲息覓食，魚礁十五號的設計靈感來自不規則狀的魚礁，每層樓的每個房間都是由賴大哥設計出不同的結構，圓弧狀的玻璃陽台、氣泡型的落地窗、潔白的洗石子、原住民圖騰發想的馬賽克拼貼和摹仿熱帶魚的室內配色，每一個小細節都不重複，處處顯現自建海洋民宿的單純用心。換個方式呼吸，生活就會像旅行熱愛潛水的賴大哥是土生土長的基隆男兒，他用最淳樸的目光看望台灣北海岸的蔚藍三十年，從魚到水、從山到海、從洋流到潮汐。魚礁十五號是他詮釋在地海岸的方式——純淨、多彩、不做作。,新北市瑞芳區建基路2段15號2樓,新北市,瑞芳區,886-933-929603,121.80731899999999,25.133008,,民宿,E
慢慢民宿,位於新北市的民宿,新北市瑞芳區基山街267號,新北市,瑞芳區,886-2-24977466,121.839188,25.107248000000002,,民宿,E
沃客伽洲旅社,位於新北市的旅館,新北市三重區成功路97號8至9樓,新北市,三重區,886-2-29703733,121.488095,25.051515,10.0,旅社,W
山頂厝,位於桃園市的民宿,桃園市復興區義盛里1鄰12-1號,新北市,萬里區,886-3-3266276,121.637872,25.173757000000002,,民宿,N
木質元素民宿,,新北市瑞芳區五號路47號,新北市,瑞芳區,886-978-908252,121.85515500000001,25.111461,,民宿,E
波麗士河堤景觀民宿,,新北市瑞芳區三爪子坑路99之1號,新北市,瑞芳區,886-2-24063292,121.81121399999999,25.107333999999998,,民宿,E
迦南民宿,位於新北市的民宿,新北市瑞芳區汽車路48號,新北市,瑞芳區,886-932-305216,121.84572299999999,25.111420000000003,,民宿,E
昇園賓館,位於新北市的旅館,新北市樹林區鎮前街3之4號5樓,新北市,樹林區,886-2-26810868,121.42636499999999,24.993166,,旅社,W
麗景民宿,位於新北市的民宿,新北市瑞芳區輕便路93號3樓,新北市,瑞芳區,886-2-24975217,121.844996,25.109030999999998,,民宿,E
阿里磅生態農場民宿,阿里磅生態農場位於新北市石門區，農場佔地十餘公頃，標高130公尺左右，是一個獨立優美的谷地，廣闊的園區內僅有兩、三處建築，都是以原先的農舍再利用作為遊客住宿或活動的場地。保留原始風貌讓自然逐漸回復。很適合喜歡靜靜欣賞大自然美好的朋友。園區所見樹林原始而茂密，幾處開闊地原本為水田，目前闢為草坪或水生池，蛙鳴不絕於耳。這兒多樣活潑的動植物，最適合從事自然生態之旅。四季都有極為豐富的生態，昆蟲和蛙類相當的多。農場在規劃時，即以不做大量設施為目標，以保留原始風貌讓自然逐漸回復，廣闊的園區內僅有2、3處建築，都是以原先的農舍再利用作為遊客住宿或活動的場地。這兒錯落交接的溼地生態系、溪流生態系、開曠草原生態系、池塘(湖泊）生態系、森林生態系、孕育了多樣活潑的動植物，最適合從事自然生態之旅。農場生態非常豐富，共紀錄了100餘種蝴蝶、70餘種鳥類、19種蛙類以及60餘種蜻蜓。夏季時昆蟲進入盛況，白天有蝴蝶、蜻蜓、蟬及甲蟲，夜間有螢火 蟲、青蛙（包括瀕臨絕種台北赤蛙）及出土脫殼的蟬等。農場也積極致力於教育工作，除培訓專業生態解說員，同時規劃各種健康有趣、寓教於樂的生態活動，是很適合校外教學的地方。農場也提供餐飲和住宿，歡迎您來享用。餐點方面為可口的家常菜，利用在地食材，如石門茶、三芝黑毛豬肉、放山雞、海鮮及蔬菜等烹飪成美食；在戶外咖啡座休息時，您可以邊品嚐咖啡香，邊品味湖光山色。阿里磅生態農場民宿也提供清潔、舒適的居住環境，希望大家透過共同生活，學習如何珍惜自然資源。,新北市石門區乾華里阿里磅82之1號,新北市,石門區,886-2-26382745,121.582603,25.264564,,民宿,N
四個孩子民宿,位於新北市的民宿,新北市三芝區茂長里芝柏路85號,新北市,三芝區,886-2-26361104,121.510779,25.257202,0.0,民宿,N
海霞您的家,"https://aodiwu.weebly.com/1.有說 有玩 還有你專屬影片的【親親海洋】 紀錄片2. 東北角山海戀的完美選擇3.資深導覽解說~專人服務~清新小旅行的選擇 【 旅行 美食 導覽】一次到位 4.簡約 低碳環保民宿. 提供洗衣晾衣空間5.民宿主人 (紀錄片導演)，有空時可小拍旅客留影 http://aodi.pixnet.net/blog/post/463142078好客民宿自我介紹 阿【海】(半世紀漁人的傳主)和阿【霞】，最溫暖的依靠還是家，希望每個來住的旅人都能當做【您的家】來住的心情，而且能重新出發面對新的人生目標。『生活是旅行的實踐，旅行是生活的延伸』『認識才有感覺，了解才更有感情』『 全球思維 在地行動』人親土親 台灣東北角海岸邊  澳底是家 海洋是家希望能一點一滴帶動地方繁榮動力。樂活   悠活   最美的海岸   位於在台灣最美麗的海岸-東北角★澳底Aodi  有說 有玩   還有你專屬影片~東北角山海戀的完美選擇 最棒的旅程  (台灣新北市貢寮區澳底 Aodi )最溫暖的民宿...一個由紀錄片導演所開的特色民宿資深導覽解說~專人服務~清新小旅行的選擇 【 旅行 美食 導覽】一次到位適合族群 :  國際背包客.環保一族. 經濟旅遊.深度旅遊.親子旅遊  ~~旅游與生活都是最好的學習~~~~◎ 珍惜資源，愛護地球， ^^^請自備盥洗用品(牙刷 牙膏 毛巾)^^^^◎ 如有特殊或疑問，訂房專線 請來電0935-204895詢問。◎住宿請採事前預約制,請3天前預約，請勿當天才訂(不一定有空房)English serviceLISA　LINE ID: 0933915936WECHAT: aodiwu        Facebook: aodiwuhttps://www.facebook.com/TaipeiAodi/",新北市貢寮區仁愛路38號,新北市,貢寮區,886-9-35204895,121.92506200000001,25.053227,,民宿,E
街角十二民宿,,新北市金山區金包里街12號,新北市,烏來區,886-988-052519,121.549172,24.856875,,民宿,S
井上天花,,新北市瑞芳區三爪子坑路6號,新北市,瑞芳區,886-2-24973755,121.81021000000001,25.106846,,民宿,E
沐舍時尚酒店,「沐舍時尚酒店」，座落於新北市中和區中正路，介於二級古蹟有江南庭園風格之稱的台灣古式庭園代表林家花園及多處觀光遊憩景點。緊鄰中和遠東工業園區及中和交流道，接臨永和、板橋、土城等工商要地，交通及生活機能非常便利。「沐舍時尚酒店」是由國內知名的建築設計團隊，攜手打造，規劃有商務客房、休閒客房、商務中心、日式料理餐廳及VIP專屬停車場。「沐舍時尚酒店」秉持著永續經營的理念，提供最高服務品質，全館擁有77間舒適客房，結合典雅、時尚的風格與設計元素，搭配柔和舒適的空間，引領時尚風潮。除了有專業親切的服務人員外，客房採用瑞典Bravat、義大利Cassido等系列進口之衛浴設備，亦特別選用國內外知名品牌高級寢具及精緻備品，每房皆有快速便利的無線寬頻，可隨時隨地輕鬆上網，不論在軟體和硬體的設施上均有最完善的品質，提供差旅商務、休閒觀光及國人渡假的最佳選擇。,新北市中和區中正路776號,新北市,中和區,886-2-66202888,121.485301,25.000404,0.0,飯店/旅店,W
幸福棧,位於新北市的民宿,新北市瑞芳區山尖路173號,新北市,瑞芳區,886-9-08830173,121.852892,25.112326,0.0,民宿,E
蘭竹大飯店,位於新北市的旅館,新北市板橋區東門街13及15號,新北市,板橋區,886-2-29680186,121.45842900000001,25.008614,,飯店/旅店,W
香奈爾汽車旅館,,新北市蘆洲區長樂路56號,新北市,蘆洲區,886-2-82855555,121.463024,25.086402,,汽車旅館,W
綠野村山莊民宿,綠野村山莊民宿位於瑞芳往十分的106縣道，絕佳的地勢和自建的園區，有如獨立於山中的一座莊園。主人陳東波和沈月娥伉儷，在台北經商多年，回到瑞芳的山上，包括園區規劃、整地建屋、植樹種花等，全都自己來，當初荒蕪的山坡，如今已是綠意盎然，充滿生機的山莊。由於環境天然、隱密，在這兒，終年可見台灣國寶－台灣藍鵲群聚，甚至於築巢、生長。白色的建築外觀，拱型窗為方正的格局增添視覺的律動。庭院的台灣欒樹枝葉茂密，樹葉隨著不同的季節變色，極具詩意！游泳池所引入山泉水，沁涼潔淨，夏天來住宿時，盡情免費享用大自然和民宿主人的盛情吧！後山步道依地勢環繞，遍植各種花樹，可眺望遠山，又毋需耗費太多體力行走。【台北瑞芳-綠野村山莊民宿】住宿採事先預約，太「好動」的主人，平日親手修剪換植花樹、農產品加工等，和過去截然不同的生活方式，夫妻倆樂在其中。其中金棗是自家後園所採摘製成，完全沒有任何的化學添加物，新鮮、多汁，十分的可口！,新北市瑞芳區靜安路4段56巷6號,新北市,瑞芳區,886-2-24061248,121.79513200000001,25.102325,,民宿,E
晶贊都會旅店台北永和,位於新北市的旅館,新北市永和區永和路2段168號3樓,新北市,永和區,886-2-29206789,121.515417,25.012852,0.0,飯店/旅店,W
九份A-HOME民宿,主人勇哥將老家整修 重新規劃 利用海邊撿拾的漂流木檜木巧妙再利用 將斜屋頂閣樓空間創造一個發呆區 女主人梅姐手作拼布及山水畫作點綴在室內 創造旅人一個放鬆沉澱心靈的私密空間,新北市瑞芳區崙頂路55號,新北市,瑞芳區,886-2-24969454,121.843875,25.10737,0.0,民宿,E
香寧旅店,位於新北市的旅館,新北市淡水區民權路105至111號7至8樓,新北市,淡水區,886-2-28097777,121.460202,25.137578,0.0,飯店/旅店,N
金龍湖旅館,位於新北市的旅館,新北市汐止區湖前街103及105號1至5樓,新北市,汐止區,886-2-26959339,121.630955,25.071439,0.0,飯店/旅店,E
望幽谷民宿,坐看幽幽山城，享受無邊的天際與青翠山色，望幽谷民宿依著九份溪，坐落在翠綠的山腰，慢步十分鐘，即可悠遊熱鬧的山城步道，收藏滿滿的流金歲月。庭院可以遠眺九份山城與基隆山，不管白天的熱鬧景象還是晚上的夜景，山城美境盡收眼底。    望幽谷是九份的傳統石屋改建，我們將老舊的石牆重新堆砌修復，一石一瓦都有的親切手感，從小在九份長大的濃濃情感，全心投入民宿的建造與經營，我們每個套房都設有供休息的小桌椅，空間在內人的精心佈置下，相信訪客都能感受到我們的用心。    歡迎訪客到望幽谷民宿休憩，如果下午入住，可以從頌德公園開始逛遊九份老街，挑個好茶館或特色咖啡廳，悠哉悠哉的度過輕鬆的懷舊時光；晚間可以在我們的庭院觀星賞夜景，安枕舒眠後享用我們為您準備的早餐、用完餐後朝氣滿滿，可以走一趟金瓜石參觀黃金園區，或者到基隆山健健腳、東北角濱海遊蹤，都是不錯選擇。    望幽谷民宿有三間不同風格的獨立套房:日式榻榻米風的竹風套房、藍色寬闊海洋風的藍影套房以及粉色甜美浪漫風的漫屋套房，每間套房內皆有獨立衛浴並貼心的附上免費小餐點-糖果、餅乾、泡麵、水及飲料，不僅可解嘴饞更不用擔心半夜肚子餓!!住宿費用-平日房價(周日~周四)NT$1500，假日房價(周五、周六、連續假期)NT$2000，加床費用另計，每加一人為NT$300，每房型以多加兩人為限。,新北市瑞芳區汽車路108之3號,新北市,瑞芳區,886-2-24966296,121.84050800000001,25.109049,,民宿,E
山茶雅舍民宿,"我們每日僅接待一組朋友,提供給您獨門獨院專屬於您的私人獨棟民宿,但很抱歉我們沒有供餐更別提還有一堆訂房限制,最抱歉的是我們無法提供您像九份街上擁有無敵山海景的景觀套雅房,我們能提供您的僅有位在水金九地區的破房子,我們的老房子每日也僅能接待一組朋友,除了您獨享的整棟房舍外我們也準備了完整的廚房與個人劇院。我們提供您滿滿的幸福做為我們的備品.並為您預留了美好的回憶期待下次相遇",新北市瑞芳區基山街241號,新北市,瑞芳區,886-9-32844293,121.84153,25.106958,0.0,民宿,E
福泰翡翠灣渡假飯店,與台北近在咫尺的渡假飯店，以自然景觀為設計主體的嶄新理念，全面引領國內未來休閒趨勢，將優雅休閒情趣與舒適尊貴服務合一，開闢出一個令人動容的美麗新世界，一個偉大的夢於焉成真。福泰翡翠灣渡假飯店~讓您的渡假生活更有趣！,"新北市萬里區翡翠路17號1至2樓,14至18樓",新北市,萬里區,886-2-24926565,121.68372,25.18628,0.0,飯店/旅店,N
九份惠風民宿,,新北市瑞芳區街頂巷41號,新北市,瑞芳區,886-2-24062017,121.84473999999999,25.107537,,民宿,E
晴悅民宿,九份 晴悅民宿-位於山城老街入口處鬧區旁7-11便利商店左起第三家旁的階梯直上後左轉第二家，設有四間乾淨舒適的套房，其中兩間有海景景觀，每房皆有對外窗戶，及獨立之出入門戶，方便您登山、尋幽、訪古、泡茶、小吃等隨時進出。  歡迎您前來入住，體驗、感受九份的山城美景、純樸民風、美味小吃及在地的濃濃人情味。,新北市瑞芳區基山街31巷27號,新北市,瑞芳區,886-965-407349,121.847724,25.112026,0.0,民宿,E
新莊客旅,我們的服務精神是「新莊情、客旅心」，意味著以敦厚的新莊人情味，和瞭解旅客需求的用心，使住客感到賓至如歸。除了提供住客舒適的休憩環境與優質的商務服務，我們將新莊文化融入設計裝潢與迎賓流程中，在24小時開放的咖啡交誼廳，擺放新莊文化活動訊息與地方刊物，而公共空間與精緻客房，處處可見新莊藝術家作品，如書法、陶瓷、青銅雕塑、花藝，此外還有代表新莊傳統文化的布袋戲偶、鐘鼓與古董糕餅模子。在新莊客旅簡潔圓融的現代化外觀下，蘊含著許多地方精神與文物，使旅客形同住在新莊文化裡。,新北市新莊區中華路1段103號3樓,新北市,土城區,886-2-22776599,121.44481,24.987039000000003,0.0,飯店/旅店,W
慶城商旅 Urbanone Hotel,位於新北市的OK旅館,新北市三重區正義南路55號4樓、4樓之1、4樓之2,新北市,三重區,886-2-29701229,121.497863,25.060679999999998,0.0,飯店/旅店,W
南瓜大叔民宿,童話裡的南瓜充滿夢幻的色彩，在忙碌的生活偶爾停下腳步，細細回味享受這輕鬆浪漫的時光~是一種幸福。曾經在美國鄉村住了一陣子，愛上了南瓜，愛上了暖暖的壁爐，愛上了種滿花花草草的庭院，在這裡我們找到了夢，一點一滴親手快樂地打造南瓜大叔民宿，雖然不豪華，但却有像家一樣的溫馨...歡迎您~~,新北市三芝區迎旭街38號,新北市,三芝區,886-2-86353450,121.51059,25.256907,,民宿,N
九份Let's go民宿,,新北市瑞芳區輕便路218之1號,新北市,瑞芳區,886-2-24977687,121.84488799999998,25.10914,,民宿,E
一間屋民宿,"位於新北市貢寮區福隆街2巷1-2號 , 緊臨福隆車站 , 出站後走一至兩分鐘。附近知名景點為:舊草嶺單車隧道、草嶺古道、桃源谷與福隆海灘等。房間內皆有冷氣、免費無線網路﹐無電視。一間屋背包客棧為複合式經營,附有餐廳,餐點皆為蔬食料理 , 餐廳標榜「健康、養生」, 料理食材大部分為友善耕種的作物。營業時間為 : 11:00~19:30FB粉絲團 : 一間廚房&背包客棧",新北市貢寮區福隆街2巷1之2號,新北市,貢寮區,886-2-24992161,121.94523799999999,25.015929,,民宿,E
杉夏民宿,位於新北市的民宿,新北市三芝區古庄里5鄰四棧橋36之1號,新北市,三芝區,886-2-26366668,121.48418500000001,25.263671,0.0,民宿,N
上格大飯店,位於新北市的旅館,新北市三重區集成路11號,新北市,三重區,886-2-29775678,121.488743,25.051896,0.0,飯店/旅店,W
亞城民宿,一個能脫離繁忙俗世的渡假勝地，白天能見山景環繞伴聽蟲鳴鳥叫，夜晚則邊泡湯邊觀看滿天星空，包棟還可品嚐民宿主人的精緻點心，讓身、心、靈皆放鬆的獨享空間，絕對是會讓你想再來的好民宿~,新北市金山區中信南路4巷2之1號,新北市,金山區,886-933-021722,121.59709299999999,25.202203,,民宿,N
櫻花村民宿,位於新北市的民宿,新北市三芝區聽濤街23號,新北市,三芝區,886-2-26369333,121.51158400000001,25.257718,0.0,民宿,N
